title,Patent_Category,center
Aero Assist Capsule Vehicle Geometry For Atmospheric Entry,Chemical Sciences,NASA Ames Research Center
InterIssued Inventory Monitoring,Materials,NASA Ames Research Center
Light Collimator And Monitor,Physical Sciences,NASA Ames Research Center
Nanotechnology Sensor Of Presence And Concentration Of A Target Molecule,Sensors,NASA Ames Research Center
Motion Blur Evaluation Techniques,Chemical Sciences,NASA Ames Research Center
Growth Method For Phase Change Nanostructures,Chemical Sciences,NASA Ames Research Center
Water Treatment Systems For Long Space Flight Use,Physical Sciences,NASA Ames Research Center
Wet Waste Drying Bag,Chemical Sciences,NASA Ames Research Center
In-situ Formation Of Reinforcement Phases In Ceramic Composites And Ultra High Temperature Ceramic Composites For Advanced TPS Applications,Chemical Sciences,NASA Ames Research Center
Dielectrophoresis-Based Particle Sensor Using Nanoelectrode Arrays,Sensors,NASA Ames Research Center
Artificial Immune System Based Approach For Air Combat Maneuvering,Biological Sciences,NASA Ames Research Center
Chaperonin-based Templates for Pseudo-cellulosomes with Multiple Enzymes Present,Other,NASA Ames Research Center
Radiation Shielding System Using A Composite Of Hydrogen-Rich Polymers Loaded With Carbon Nanotubes,Chemical Sciences,NASA Ames Research Center
Real Time PIREPs Using Audio Twitter,Technology,NASA Ames Research Center
A Method To Measure The Recession Of Ablative Materials In Arc-jet Testing Using Digital Stereo-photogrammetry And Image Cross-correlation,Chemical Sciences,NASA Ames Research Center
Wireless Chemical Sensor Data Transmission System Based On Nanotechnology,Sensors,NASA Ames Research Center
Atmospheric Entry Heat Shield Employing Cured Thermal Protection Material Blocks Bonded In A Large-Cell Honeycomb Matrix,Chemical Sciences,NASA Ames Research Center
Surface Densification Of Phenolic Impregnated Carbon Ablator (PICA),Chemical Sciences,NASA Ames Research Center
Hollow AErothermal Ablation And Temperature (HEAT) Isotherm Sensor For Tracking Isotherm Through The TPS Material,Sensors,NASA Ames Research Center
Low Cost Optical Fiber Solar Cell Configurations,Chemical Sciences,NASA Ames Research Center
Modeling-Error-Driven Performance-Seeking Direct Adaptive Control,Other,NASA Ames Research Center
Decomposition Technique for Remaining Useful Life Prediction,Chemical Sciences,NASA Ames Research Center
Offshore membrane enclosures for dewatering Algae (OMEDA),Other,NASA Ames Research Center
Nanotechnology-Based Supercapacitor,Finance,NASA Ames Research Center
Battery Prognostics using Particle Filtering Techniques,Physical Sciences,NASA Ames Research Center
System to estimate visual acuity from wavefront aberrations,Chemical Sciences,NASA Ames Research Center
Estimation of Growth Stage and Growth Rate for Algae,Chemical Sciences,NASA Ames Research Center
Method and Device for Biometric Subject Verification and Identification Based Upon electrocardiographic signals,Chemical Sciences,NASA Ames Research Center
Method for formation and manufacture of carbon nanotube mesh bucky paper capsules for transplantation of cells and tissue and implantation of medical devices,Chemical Sciences,NASA Ames Research Center
Advanced Sensor Technology for Algal Biotechnology (ASTAB) ,Sensors,NASA Ames Research Center
Co-Optimized Blunt-Body ReEntry Vehicle Aerothermodynamic Parametric Shape and Multi-Discipline Optimization Design Process,Chemical Sciences,NASA Ames Research Center
Hovercraft Landing System,Physical Sciences,NASA Ames Research Center
Self Aligning Lug for adapting carbon fiber rods to a bolted metallic connection,Chemical Sciences,NASA Ames Research Center
Inexpensive Cooling Systems for Devices,Physical Sciences,NASA Ames Research Center
Heart Electrical Actions as Biometric Indicia,Chemical Sciences,NASA Ames Research Center
Nanowire based piezoelectric power generation,Chemical Sciences,NASA Ames Research Center
Content Analysis to Detect High Stress in Oral Interviews and Text Documents,Physical Sciences,NASA Ames Research Center
Strobing to Mitigate Vibration for Display Legibility,Chemical Sciences,NASA Ames Research Center
Distributed Prognostics and Health Management with a  Wireless Network Architecture ,Chemical Sciences,NASA Ames Research Center
FABRICATION OF NANOPIPETTE ARRAY FOR BIOSENSING,Chemical Sciences,NASA Ames Research Center
Solar Powered CO2 Conversions with Thin Film Devices,Chemical Sciences,NASA Ames Research Center
Combined HETC/ROCCI TPS Material for Temperatures Up To T=3200 F ,Chemical Sciences,NASA Ames Research Center
ODVEC: Outlier Detection Via Estimating Clusters,Chemical Sciences,NASA Ames Research Center
An Approach to Make Flexible Ablators that are Flexible Char Formers,Aerospace,NASA Ames Research Center
Transformable Hypersonic Aerodynamic Decelerator,Physical Sciences,NASA Ames Research Center
Variable Camber Continuous Aerodynamic Control Surfaces and Methods for Active Wing Shaping Control ,Physical Sciences,NASA Ames Research Center
A method to produce copper nanowires for interconnect applications,Chemical Sciences,NASA Ames Research Center
Video acuity measurement system,Other,NASA Ames Research Center
NTTS Search and Reporting (Part of NTTS Suite),Other,NASA Ames Research Center
Ectomycorrhizal mediated remediaiton of phenolic-based contamination through use of specifically adapted ectomycorrhizal fungi and enzyme enhancement through partial defoliation of the host.,Chemical Sciences,NASA Ames Research Center
Ectomycorrhizal mediated remediaiton of phenolic-based contamination through use of specifically adapted ectomycorrhizal fungi and enzyme enhancement through partial defoliation of the host.,Chemical Sciences,NASA Ames Research Center
NanoSat Launch Adapter System (NLAS),Physical Sciences,NASA Ames Research Center
"Habitat Water Wall for Water, Solids, and Atmosphere Recycle and Reuse ",Chemical Sciences,NASA Ames Research Center
"Fuel-Efficient, Airport-Friendly, Multi-Speed Transport Aircraft Configuration with Novel Structural Approach",Chemical Sciences,NASA Ames Research Center
Compliant electrode and composite materials for piezoelectric wind and mechanical energy conversions,Chemical Sciences,NASA Ames Research Center
Graphene composite materials for supercapacitor electrodes   ,Chemical Sciences,NASA Ames Research Center
Flight Deck Predictive Weather Display and Decision Support Interface ,Chemical Sciences,NASA Ames Research Center
Adaptive control and disturbance rejection of non-minimum phase plants using residual mode filters,Chemical Sciences,NASA Ames Research Center
Dynamic Weather Routes Tool,Biological Sciences,NASA Ames Research Center
The Surface-Adhering Bioreactor (SABR): A novel microbial cell cultivation platform,Chemical Sciences,NASA Ames Research Center
Nanosensors for medical diagnosis,Sensors,NASA Ames Research Center
A Method for Improving Control Systems with Normalized Adaptation by Optimal Control Modification,Chemical Sciences,NASA Ames Research Center
Aluminoborosilicate Supplement for Thermal Protection of a Re-entrant Vehicle,Chemical Sciences,NASA Ames Research Center
A new family of low density flexible ablators,Aerospace,NASA Ames Research Center
Adaptive Lossless Data Compression,Chemical Sciences,NASA Armstrong Flight Research Center
Sound Shield,Other,NASA Armstrong Flight Research Center
Algorithms For Autonomous Soaring,Other,NASA Armstrong Flight Research Center
"Air Breathing,Reusable, Vertical Launch, Vertical Landing, First Stage Launch System with Off-the-Shelf Second Stage - Ram Booster",Technology,NASA Armstrong Flight Research Center
Propulsion Controlled Aircraft Computer (PCAC),Chemical Sciences,NASA Armstrong Flight Research Center
Method for Real-Time Structure Shape Sensing,Biological Sciences,NASA Armstrong Flight Research Center
METHOD FOR REDUCING THE REFRESH RATE OF FIBER BRAGG GRATING SENSORS,Sensors,NASA Armstrong Flight Research Center
Real-time Interactive Sonic Boom Display,Technology,NASA Armstrong Flight Research Center
IMPROVED PROCESS FOR USING SURFACE STRAIN MEASUREMENTS TO OBTAIN OPERATIONAL LOADS FOR COMPLEX STRUCTURES,Chemical Sciences,NASA Armstrong Flight Research Center
Continental Digital Elevation Map Compression and Decompression Software,Chemical Sciences,NASA Armstrong Flight Research Center
A New Peak-Seeking Control Method,Other,NASA Armstrong Flight Research Center
An apparatus and a method to eliminate polarization-induced fading from multiple fiber-optics strain sensors via signal-processing under polarization diversity detection scheme,Sensors,NASA Armstrong Flight Research Center
OPTICAL WAVEGUIDE BRAGG GRATING WAVELENGTH SHIFT BY LIGHT INTERACTION WITH ACTIVE MATERIAL,Chemical Sciences,NASA Armstrong Flight Research Center
In-situ three-dimensional shape rendering from strain values obtained through optical fiber sensors,Sensors,NASA Armstrong Flight Research Center
Method and apparatus of multiplexing and acquiring data from multiple optical fibers using a single data channel of an optical frequency-domain reflectrometry (OFDR) system (Revised),Physical Sciences,NASA Armstrong Flight Research Center
A Novel Approach to Liquid Level Sensing Using Fiber Bragg Grating Technology,Biological Sciences,NASA Armstrong Flight Research Center
Air Launch From A Towed Aircraft,Physical Sciences,NASA Armstrong Flight Research Center
Emergency Flight Control System Using One Engine And Fuel Transfer,Physical Sciences,NASA Armstrong Flight Research Center
Emergency Aircraft Lateral Controller Using Existing (non-modified) Digital Engine Computers During A System Failure For The Purpose Of Safe Landing,Physical Sciences,NASA Armstrong Flight Research Center
A Flutterometer Flight Test Tool,Physical Sciences,NASA Armstrong Flight Research Center
SPLINE-LOCKING PAYLOAD FASTENER,Physical Sciences,NASA Goddard Space Flight Center
"USING A 3-D SPRAG IN RACHETING TOOLS BASED ON PAT. NO. 5,482-144",Technology,NASA Goddard Space Flight Center
Empirical Mode Decomposition Method And Hilbert Spectral Analysis Algorithms,Chemical Sciences,NASA Goddard Space Flight Center
COMPUTER IMPLEMENTED EMPIRICAL MODE DECOMPOSITION METHOD APPARATUS AND ARTICLE OF MANUFACTURE UTILIZING CURVATURE EXTREMA,Chemical Sciences,NASA Goddard Space Flight Center
"Empirical Mode Decomposition Apparatus, Method, And Article Of Manufacture For Analyzing Biological Signals And Performing Curve Fitting",Chemical Sciences,NASA Goddard Space Flight Center
Empirical Mode Decomposition For Analyzing Acoustical Signals,Chemical Sciences,NASA Goddard Space Flight Center
"Empirical Mode Decomposition Apparatus, Method And Article Of Manufacture For Analyzing Biological Signals And Performing Curve Fitting",Chemical Sciences,NASA Goddard Space Flight Center
1-Way Bearing,Physical Sciences,NASA Goddard Space Flight Center
"Computer Implemented Empirical Mode Decomposition Method, Apparatus, And Article Of Manufacture For Two-Dimensional Signals",Chemical Sciences,NASA Goddard Space Flight Center
Active Antenna Combined With Non-Ferrous Current Probe.,Physical Sciences,NASA Goddard Space Flight Center
Universal Fiber Optic Connector Polishing Fixture With Precision Alignment Capability,Chemical Sciences,NASA Goddard Space Flight Center
Gear Bearings,Physical Sciences,NASA Goddard Space Flight Center
Stress Relieved Zee Electrical Interconnect,Physical Sciences,NASA Goddard Space Flight Center
Estimated Spectrum Adaptive Postfilter (ESAP) And The Iterative Prepost Filtering (IPF) Algorithms,Other,NASA Goddard Space Flight Center
MEMS Devices For Spacecraft Thermal Control Applications,Chemical Sciences,NASA Goddard Space Flight Center
Extension Of The Empirical Mode Decomposition Method To A Time Series Of 2-Dimensional Grid Maps,Chemical Sciences,NASA Goddard Space Flight Center
Method For Recursive Implementation Of Hierarchical Segmentation,Chemical Sciences,NASA Goddard Space Flight Center
Deriving Formal Specifications And Code From Scenarios,Chemical Sciences,NASA Goddard Space Flight Center
Light Weight Optical Mirrors Formed In Single Crystal Silicon,Chemical Sciences,NASA Goddard Space Flight Center
Thrust Rollers,Physical Sciences,NASA Goddard Space Flight Center
Innovative Manufacturing Procedure For Low Cost And High Quality Carbon Nanotubes,Chemical Sciences,NASA Goddard Space Flight Center
Gear Bearings,Physical Sciences,NASA Goddard Space Flight Center
Screw-Locking Wrench,Physical Sciences,NASA Goddard Space Flight Center
Stepping Flextures,Aerospace,NASA Goddard Space Flight Center
Method For Manufacturing High Quality Carbon Nanotubes,Chemical Sciences,NASA Goddard Space Flight Center
Anti-Backlash Gear-Bearings,Physical Sciences,NASA Goddard Space Flight Center
Time Frequency Analysis Based On Extrema Sifting,Other,NASA Goddard Space Flight Center
Conceptual Design Of A 3D Imaging Lidar For High-Resolution Mapping Of The Surface Topography Of Moons Or Planets From Space,Chemical Sciences,NASA Goddard Space Flight Center
Evolvable Neural Software System,Technology,NASA Goddard Space Flight Center
Systems And Methods For Determining Spacecraft Orientation,Chemical Sciences,NASA Goddard Space Flight Center
Normalized Amplitude Hilbert Transform (NAHT):  A New Algorithm For Computing Instantaneous Frequency,Physical Sciences,NASA Goddard Space Flight Center
Specular Coatings For Composite Structures,Chemical Sciences,NASA Goddard Space Flight Center
SMART Solar Sail,Physical Sciences,NASA Goddard Space Flight Center
Large Area Vacuum Ultra-Violet Sensors,Sensors,NASA Goddard Space Flight Center
"Pivot 2.0:  Radiation Hardened, Fast Acquisition/Weak Signal Tracking GPS Receiver",Navigation,NASA Goddard Space Flight Center
Application Of HHT To Financial Data Analysis For Define Volatility And Trend,Chemical Sciences,NASA Goddard Space Flight Center
Stability Spectrum Through Hilbert-Huang Transform,Other,NASA Goddard Space Flight Center
Demiseable Reaction Wheel Assembly,Chemical Sciences,NASA Goddard Space Flight Center
Template For Deposition Of Micron And Sub-micron Pointed Structures,Chemical Sciences,NASA Goddard Space Flight Center
ADR Salt Pill Design And Crystal Growth Process For Hydrated Magnetic Salts,Chemical Sciences,NASA Goddard Space Flight Center
Iterative-Transform Phase-Retrieval Utilizing Adaptive Diversity,Chemical Sciences,NASA Goddard Space Flight Center
A  Method And System For Direct Implementation Of Formal Specifications Derived Mechanically From Informal Requirements,Chemical Sciences,NASA Goddard Space Flight Center
"A Method And System For Formal Analysis, Simulation, And Verification Of Knowledge-Based Systems, Rule-Based Systems, And Expert Systems",Chemical Sciences,NASA Goddard Space Flight Center
Conformal Gripper,Other,NASA Goddard Space Flight Center
Hardware And Technique For Dead End Welding Of All Types Of Tubing,Physical Sciences,NASA Goddard Space Flight Center
SpaceCube v2.0 Flight Processor Card,Physical Sciences,NASA Goddard Space Flight Center
Apoptosis And Self-destruct: Mechanisms For Management Of Autonomic Systems,Other,NASA Goddard Space Flight Center
SWARM AUTONOMIC AGENTS WITH SELF-DESTRUCT CAPABILITY,Other,NASA Goddard Space Flight Center
Modular Gear Bearing,Physical Sciences,NASA Goddard Space Flight Center
A Split-Remerge Method For Eliminating Processing Window Artifacts In Recursive Hierarchical Segmentation,Chemical Sciences,NASA Goddard Space Flight Center
Light Direction Sensor,Sensors,NASA Goddard Space Flight Center
Space Robotic System For In Space Servicing Of Unmanned Spacecraft Applications,Chemical Sciences,NASA Goddard Space Flight Center
"Method And Associated Apparatus For Capturing, Servicing, And De-Orbiting Earth Satellites Using Robotics",Technology,NASA Goddard Space Flight Center
"Method And Associated Apparatus For Capturing, Servicing, And De-Orbiting Earth Satellites Using Robotics",Technology,NASA Goddard Space Flight Center
"Method And Associated Apparatus For Capturing, Servicing And De-Orbiting Earth Satellites Using Robotics",Technology,NASA Goddard Space Flight Center
"Method And Associated Apparatus For Capturing, Servicing, And De-Orbiting Earth Satellites Using Robotics",Technology,NASA Goddard Space Flight Center
Millimeter Wave Polarization Transformer,Chemical Sciences,NASA Goddard Space Flight Center
INTERFEROMETRIC POLARIZATION CONTROL,Chemical Sciences,NASA Goddard Space Flight Center
INTERFEROMETRIC POLARIZATION CONTROL,Chemical Sciences,NASA Goddard Space Flight Center
"A Pulsed, 1 Micron, Single Frequency, Diode-Seeded Ytterbium-doped Fiber Amplifier With Variable Output Parameters, P",Technology,NASA Goddard Space Flight Center
SPAACE: Self Properties For An Autonomous & Autonomic Computing Environment,Other,NASA Goddard Space Flight Center
Miniaturized Double Latching Solenoid Valve,Other,NASA Goddard Space Flight Center
Driven Ground,Other,NASA Goddard Space Flight Center
Broadband High Spurious-suppression Microwave Waveguide Filter For Polarization-preserving And Transformer,Chemical Sciences,NASA Goddard Space Flight Center
Low Cost TDRSS Tranceiver (LCT2),Other,NASA Goddard Space Flight Center
Generation And Verification Of Policies For Autonomic Systems,Chemical Sciences,NASA Goddard Space Flight Center
A Method Of Deriving Process Based Specifications From Scenarios Via Pattern Matching,Chemical Sciences,NASA Goddard Space Flight Center
Miniaturized Radiation Spectrometer Development,Chemical Sciences,NASA Goddard Space Flight Center
Blocking Contacts For N-Type Cadmium Zinc Cadmium Zinc Telluride (CdZnTe),Physical Sciences,NASA Goddard Space Flight Center
Enhancing R2D2C Requirements Based Programming With Automata Learning,Technology,NASA Goddard Space Flight Center
"Instrument And Method For X-Ray Diffraction, Fluorescence, And Crystal Texture Analysis Without Sample Preparation",Chemical Sciences,NASA Goddard Space Flight Center
AIGaN Ultraviolet Detectors For Dual Band UV Detection,Chemical Sciences,NASA Goddard Space Flight Center
Autonomic Quiescence,Other,NASA Goddard Space Flight Center
A Method For Developing And Maintaining Evolving Systems With Software Product Lines,Technology,NASA Goddard Space Flight Center
A Method For Developing And Maintaining Evolving Systems With Software Product Lines,Technology,NASA Goddard Space Flight Center
"Modeling, Specifying And Deploying Policies In Autonomous And Autonomic Systems Using An AOSE Methodology",Other,NASA Goddard Space Flight Center
An Autonomic Smoke Detector,Physical Sciences,NASA Goddard Space Flight Center
"An Active,  Solid-state, 3-Dimensional Range Imaging System",Chemical Sciences,NASA Goddard Space Flight Center
Otoacoustic Protection In Biologically-Inspired Systems,Chemical Sciences,NASA Goddard Space Flight Center
Otoacoustic Protection In Biologically-Inspired Systems,Chemical Sciences,NASA Goddard Space Flight Center
Otoacoustic Protection In Biologically-Inspired Systems,Chemical Sciences,NASA Goddard Space Flight Center
Otoacoustic Protection In Biologically-Inspired Systems,Chemical Sciences,NASA Goddard Space Flight Center
Otoacoustic Protection In Biologically-Inspired Systems,Chemical Sciences,NASA Goddard Space Flight Center
Otoacoustic Protection In Biologically-Inspired Systems,Chemical Sciences,NASA Goddard Space Flight Center
Spaceflight Ka-Band High Rate Rad Hard Modulator,Physical Sciences,NASA Goddard Space Flight Center
An Extendibe USB Drive That Accepts External Media,Other,NASA Goddard Space Flight Center
An Double-Headed USB Drive,Other,NASA Goddard Space Flight Center
Non-Pyrotechnic Zero-Leak Normally-Closed Valve,Other,NASA Goddard Space Flight Center
"Improved, Flexure-Base Linear Bearing",Physical Sciences,NASA Goddard Space Flight Center
Low Conductance Silicon Micro-leak for Mass Spectrometer Inlet,Other,NASA Goddard Space Flight Center
Low Conductance Silicon Micro-leak for Mass Spectrometer Inlet,Other,NASA Goddard Space Flight Center
Method And Apparatus For Second Harmonic Generation And Other Frequency Convertion With Multiple Frequency Channels,Chemical Sciences,NASA Goddard Space Flight Center
Compact Low-loss Planar Magic-T With Broadband Phase And Amplitude Responses,Chemical Sciences,NASA Goddard Space Flight Center
Stability Algorithm For Neural Entities (SANE),Technology,NASA Goddard Space Flight Center
Hughes Particle â€“ Surface Interaction Model,Chemical Sciences,NASA Goddard Space Flight Center
Advanced Adhesive Bond Shape Tailoring for Large Composite Primary Structures Subjected to Cryogenic and Ambient Loading Environments,Chemical Sciences,NASA Goddard Space Flight Center
Directed Flux Motor Utilizing Concentric Magnets and Interwoven Flux Channels,Physical Sciences,NASA Goddard Space Flight Center
Actuated Ball and Socket Joint,Other,NASA Goddard Space Flight Center
Improvements to the Walk and Roll Robot,Other,NASA Goddard Space Flight Center
Spring Joint Package with Overstrain Sensor ( OS Sensor Joint ),Sensors,NASA Goddard Space Flight Center
A two-axis direct fluid shear stress sensor suited for aerodynamic applications,Sensors,NASA Goddard Space Flight Center
"Pseudo-Noise Code Modulation using Return to Zero pulses for Ranging, Altimetry and Communications",Chemical Sciences,NASA Goddard Space Flight Center
Space Link Extension Return Channel Frames (SLE-RCF) Service (User side) Software Library,Chemical Sciences,NASA Goddard Space Flight Center
Relative Spacecraft Navigation using Reflected GPS Signals,Navigation,NASA Goddard Space Flight Center
Non-scanning laser 3D imager,Physical Sciences,NASA Goddard Space Flight Center
Sensor Complete Requirements Algorithm For Autonomous Mobility,Sensors,NASA Goddard Space Flight Center
Compact planar microwave blocking filter,Physical Sciences,NASA Goddard Space Flight Center
A biologically-inspired method of improving system performance and survivability through self-sacrifice,Biological Sciences,NASA Goddard Space Flight Center
"Small, High Field Superconducting Magnets",Physical Sciences,NASA Goddard Space Flight Center
Formulation for Emotion Embedding in Logic Systems (FEELS),Chemical Sciences,NASA Goddard Space Flight Center
Tunable Frequency-stabilized Laser via Offset Sideband Locking,Physical Sciences,NASA Goddard Space Flight Center
Hilbert-Transform-Based Phase Referencing Algorithm for Wide-Field Imaging Interferometry.,Chemical Sciences,NASA Goddard Space Flight Center
Low Frequency Wideband Step Frequency Inverse Synthetic Aperture Radar For 3-D Imaging of Interior of Near Earth Objects/Planetary Bodies,Technology,NASA Goddard Space Flight Center
Extreme Environment Low Temperature Transistor Models,Chemical Sciences,NASA Goddard Space Flight Center
Flight Mirror Mount and Flight Mounting Procedure for an Ultra-Lightweight High-Precision Glass Mirror,Chemical Sciences,NASA Goddard Space Flight Center
